SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-14-2017,Single Family Residential,19929 100th Ave NE,Bothell,WA,98011,1004999,5,2.75,Bothell,3290,9646,2017,41,305,,Sold,,,http://www.redfin.com/WA/Bothell/19929-100th-Ave-NE-98011/home/144287559,NWMLS,1216849,N,Y,47.7725304,-122.2073936
PAST SALE,December-8-2017,Single Family Residential,18305 43rd. Dr SE,Bothell,WA,98012,589583,4,3.25,North Creek,1939,3175,2017,47,304,85,Sold,,,http://www.redfin.com/WA/Bothell/18305-43rd-Dr-SE-98012/home/113036313,NWMLS,1080139,N,Y,47.8289,-122.1723
PAST SALE,December-14-2017,Mobile/Manufactured Home,20525 31st Dr SE,Bothell,WA,98012,321000,3,2,Thrashers Corner,1512,6098,2005,41,212,150,Sold,,,http://www.redfin.com/WA/Bothell/20525-31st-Dr-SE-98012/home/28446785,NWMLS,1217491,N,Y,47.811234,-122.1906986
PAST SALE,January-19-2018,Townhouse,17706 33rd Dr SE,Bothell,WA,98012,540000,3,2.25,Bothell,1493,3056,2012,5,362,35,Sold,,,http://www.redfin.com/WA/Bothell/17706-33rd-Dr-SE-98012/home/50663234,NWMLS,1224836,N,Y,47.8369163,-122.1882229
PAST SALE,December-4-2017,Single Family Residential,20120 Hollyhills Dr NE,Bothell,WA,98011,575000,3,2.5,Morningside,1910,4028,1987,51,301,63,Sold,,,http://www.redfin.com/WA/Bothell/20120-Hollyhills-Dr-NE-98011/home/288011,NWMLS,1210741,N,Y,47.7740584,-122.1709769
PAST SALE,November-16-2017,Single Family Residential,10821 NE 190th Place,Bothell,WA,98011,924990,4,3.5,Bothell,3307,9942,1895,69,280,85,Sold,,,http://www.redfin.com/WA/Bothell/10821-NE-190th-Pl-98011/home/109972175,NWMLS,1194817,N,Y,47.7657921,-122.1954729
PAST SALE,December-5-2017,Single Family Residential,19116 103rd Ave NE,Bothell,WA,98011,450000,4,1.5,Downtown Bothell,1753,11021,1948,50,257,,Sold,,,http://www.redfin.com/WA/Bothell/19116-103rd-Ave-NE-98011/home/285634,NWMLS,1220532,N,Y,47.7670033,-122.2030858
PAST SALE,,Condo/Co-op,12113 NE 172nd Pl #301,Bothell,WA,98011,335000,2,2,,975,,1995,,344,,,,,http://www.redfin.com/WA/Bothell/12113-NE-172nd-Pl-98011/unit-301/home/29482,,,N,Y,47.7534774,-122.178153
PAST SALE,December-4-2017,Single Family Residential,20306 129th Place NE,Woodinville,WA,98072,680000,4,2.5,Woodinville,2334,3934,2004,51,291,29,Sold,,,http://www.redfin.com/WA/Woodinville/20306-129th-Pl-NE-98072/home/287352,NWMLS,1206690,N,Y,47.7748179,-122.1674541
PAST SALE,,Single Family Residential,19042 84th Pl NE,Bothell,WA,98011,949698,4,2.5,,3370,6223,2017,,282,,,,,http://www.redfin.com/WA/Bothell/19042-84th-Pl-NE-98011/home/113178657,,,N,Y,47.766797,-122.227055
PAST SALE,December-1-2017,Single Family Residential,24026 Meridian Ave SE,Bothell,WA,98021,794950,3,2.5,Bothell,2572,10680,2017,54,309,,Sold,,,http://www.redfin.com/WA/Bothell/24026-Meridian-Ave-S-98021/home/2639320,NWMLS,1207068,N,Y,47.7797587,-122.2334902
PAST SALE,December-1-2017,Single Family Residential,19012 35th Ave SE,Bothell,WA,98012,383000,3,1,Bothell,960,10890,1968,54,399,,Sold,,,http://www.redfin.com/WA/Bothell/19012-35th-Ave-SE-98012/home/2539573,NWMLS,1207500,N,Y,47.8248509,-122.1862261
PAST SALE,December-4-2017,Single Family Residential,17927 35th Ave SE,Bothell,WA,98012,500000,4,2.25,North Creek,2016,84283,1935,51,248,,Sold,,,http://www.redfin.com/WA/Bothell/17927-35th-Ave-SE-98012/home/2495281,NWMLS,779019,N,Y,47.835079,-122.185014
PAST SALE,November-30-2017,Single Family Residential,23017 2nd Ave SE,Bothell,WA,98021,633000,3,2.75,Kenmore,2776,21780,1977,55,228,,Sold,,,http://www.redfin.com/WA/Bothell/23017-2nd-Ave-SE-98021/home/2706315,NWMLS,1208676,N,Y,47.7889553,-122.2283236
PAST SALE,November-30-2017,Single Family Residential,3010 215th St SE,Bothell,WA,98021,793000,5,2.5,Thrashers Corner,2911,7841,1997,55,272,25,Sold,,,http://www.redfin.com/WA/Bothell/3010-215th-St-SE-98021/home/2847648,NWMLS,1199491,N,Y,47.8034802,-122.1925385
PAST SALE,November-30-2017,Single Family Residential,19105 Waxen Rd,Bothell,WA,98012,629000,4,2.5,North Creek,2733,6259,2007,55,230,,Sold,,,http://www.redfin.com/WA/Bothell/19105-Waxen-Rd-98012/home/12489853,NWMLS,1204567,N,Y,47.8248437,-122.217416
PAST SALE,,Condo/Co-op,19312 1st Ave W #4,Bothell,WA,98012,499000,3,2.5,,1696,,2010,,294,,,,,http://www.redfin.com/WA/Bothell/19312-1st-Ave-W-98012/unit-4/home/39593607,,,N,Y,47.8230243,-122.2346634
PAST SALE,December-6-2017,Single Family Residential,21926 3rd Dr SE,Bothell,WA,98021,599000,3,2.5,Bothell,2078,13068,1979,49,288,,Sold,,,http://www.redfin.com/WA/Bothell/21926-3rd-Dr-SE-98021/home/2784324,NWMLS,1213958,N,Y,47.7986861,-122.226823
PAST SALE,December-1-2017,Single Family Residential,20715 38th Dr SE,Bothell,WA,98021,830000,4,2.5,Bothell,3184,7410,2005,54,261,40,Sold,,,http://www.redfin.com/WA/Bothell/20715-38th-Dr-SE-98021/home/2907135,NWMLS,1205337,N,Y,47.8098028,-122.1813896
PAST SALE,November-30-2017,Condo/Co-op,18930 Bothell Everett Hwy Unit G301,Bothell,WA,98012,235000,2,1,Bothell,964,552636,1998,55,244,360,Sold,,,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-G301/home/12105019,NWMLS,1209470,N,Y,47.8248136,-122.2090604
PAST SALE,November-22-2017,Single Family Residential,22716 41st Dr SE #41,Bothell,WA,98021,775465,5,3.25,Bothell,2850,4315,2017,63,272,56,Sold,,,http://www.redfin.com/WA/Bothell/22716-41st-Dr-SE-98021/home/143805360,NWMLS,1192874,N,Y,47.7903175,-122.1775433
PAST SALE,December-29-2017,Single Family Residential,315 221st Place SW Unit L1002,Bothell,WA,98021,725000,5,2.75,Queensborough,2279,7217,2017,26,318,53,Sold,,,http://www.redfin.com/WA/Bothell/315-221st-St-SW-98021/unit-L1002/home/143718210,NWMLS,1190686,N,Y,47.7975443,-122.2376402
PAST SALE,December-26-2017,Single Family Residential,19730 100th Ave NE,Bothell,WA,98011,640000,3,2.5,Bothell,1710,8403,1994,29,374,,Sold,,,http://www.redfin.com/WA/Bothell/19730-100th-Ave-NE-98011/home/285334,NWMLS,1221589,N,Y,47.7719139,-122.206058
PAST SALE,December-27-2017,Single Family Residential,19045 84th  (Lot #9) Place NE,Bothell,WA,98011,959460,4,2.75,Bothell,3301,5758,2017,28,291,84,Sold,,,http://www.redfin.com/WA/Bothell/19045-84th-Pl-NE-98011/home/113178444,NWMLS,1222903,N,Y,47.766866,-122.227726
PAST SALE,December-28-2017,Single Family Residential,19027 84th  (Lot #12) Place NE,Bothell,WA,98011,949937,4,2.75,Bothell,3301,4765,2017,27,288,84,Sold,,,http://www.redfin.com/WA/Bothell/19027-84th-Pl-NE-98011/home/113178415,NWMLS,1215193,N,Y,47.766454,-122.22778
PAST SALE,,Vacant Land,,Bothell,WA,,200000,,,,,81892,,,,,,,,http://www.redfin.com/WA/Bothell/Unknown-Unknown/home/22428102,,,N,Y,47.755029,-122.180881
PAST SALE,November-30-2017,Mobile/Manufactured Home,19205 130th Ct NE,Bothell,WA,98011,190000,3,1.75,Holly Hills,1440,4331,1971,55,132,,Sold,,,http://www.redfin.com/WA/Bothell/19205-130th-Ct-NE-98011/home/59704891,NWMLS,1184792,N,Y,47.7666384,-122.1661006
PAST SALE,December-27-2017,Single Family Residential,17929 North Rd,Bothell,WA,98012,380000,3,1,North Creek,1488,12974,1963,28,255,,Sold,,,http://www.redfin.com/WA/Bothell/17929-North-Rd-98012/home/2647546,NWMLS,1216983,N,Y,47.8351817,-122.2360222
PAST SALE,December-22-2017,Single Family Residential,3213 240th St SE,Bothell,WA,98021,405000,3,2,Canyon Park,1410,21780,1976,33,287,,Sold,,,http://www.redfin.com/WA/Bothell/3213-240th-St-SE-98021/home/2623176,NWMLS,1216470,N,Y,47.7803809,-122.1896178
PAST SALE,December-22-2017,Condo/Co-op,1522 196th St SE Unit B106,Bothell,WA,98012,310000,2,1.75,Bothell,965,,2000,33,321,344,Sold,,,http://www.redfin.com/WA/Bothell/1522-196th-St-SE-98012/unit-B106/home/2885456,NWMLS,1218442,N,Y,47.8176785,-122.2102221
PAST SALE,December-22-2017,Single Family Residential,312 210th St SE,Bothell,WA,98021,630000,4,2.5,Bothell,2574,10019,2004,33,245,,Sold,,,http://www.redfin.com/WA/Bothell/312-210-St-SE-98021/home/2899375,NWMLS,1213499,N,Y,47.8071458,-122.226839
PAST SALE,December-22-2017,Condo/Co-op,129 194th Place SW #18,Bothell,WA,98012,728495,5,3.25,Bothell,2682,4272,2017,33,272,68,Sold,,,http://www.redfin.com/WA/Bothell/129-194th-St-SW-98012/home/144287287,NWMLS,1217596,N,Y,47.8222506,-122.2355353
PAST SALE,,Mobile/Manufactured Home,4429 244TH ST SE,BOTHELL,WA,98021,500000,3,2.5,,2496,116305,1995,,200,,,,,http://www.redfin.com/WA/BOTHELL/4429-244TH-ST-SE-98021/home/2630042,,,N,Y,47.777898,-122.173534
PAST SALE,,Mobile/Manufactured Home,20613 34th Dr SE,Bothell,WA,98012,134000,2,2,,1344,7841,1970,,100,,,,,http://www.redfin.com/WA/Bothell/20613-34th-Dr-SE-98012/home/2660796,,,N,Y,47.8105744,-122.1864539
PAST SALE,,Condo/Co-op,17712 35th Dr SE #2025,Bothell,WA,98012,640000,3,2.5,,2019,,2015,,317,,,,,http://www.redfin.com/WA/Bothell/17712-35th-Dr-SE-98012/unit-2025/home/59706595,,,N,Y,47.8368541,-122.1849849
PAST SALE,,Unknown,4312 224th St SE,Bothell,WA,98021,670000,,,,,,,,,,,,,http://www.redfin.com/WA/Bothell/4312-224th-St-SE-98021/home/144654487,,,N,Y,47.7944929,-122.1742851
PAST SALE,,Unknown,19412 2nd Ave SE,Bothell,WA,98012,681000,,,,,,,,,,,,,http://www.redfin.com/WA/Bothell/19412-2nd-Ave-SE-98012/home/144654488,,,N,Y,47.8216337,-122.2297285
PAST SALE,December-19-2017,Single Family Residential,22330 lot 5 43rd DR SE,Bothell,WA,98021,740935,3,2.5,Canyon Park,2518,3600,2017,36,294,102,Sold,,,http://www.redfin.com/WA/Bothell/22330-43rd-Dr-SE-98021/home/113983104,NWMLS,1129125,N,Y,47.7949019,-122.1752504
PAST SALE,October-27-2017,Mobile/Manufactured Home,2200 196th St SE #7,Bothell,WA,98012,75400,3,2,Kennard Corner,1440,,1976,89,52,,Sold,,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-7/home/143943050,NWMLS,1199602,N,Y,47.8186196,-122.2033852
PAST SALE,October-31-2017,Single Family Residential,23230 20th Ave SE,Bothell,WA,98021,525000,3,2,Canyon Park,1656,7841,1987,85,317,,Sold,,,http://www.redfin.com/WA/Bothell/23230-20th-Ave-SE-98021/home/143075387,NWMLS,1169073,N,Y,47.7868279,-122.2064251
PAST SALE,October-30-2017,Single Family Residential,23511 26th Ave SE,Bothell,WA,98021,899950,5,2.75,Bothell,3146,6971,2017,86,286,60,Sold,,,http://www.redfin.com/WA/Bothell/23511-26th-Ave-SE-98021/home/116744285,NWMLS,1140701,N,Y,47.7789517,-122.1975563
PAST SALE,October-30-2017,Single Family Residential,23528 26th Ave SE,Bothell,WA,98021,970000,5,4.25,Bothell,3600,11879,2017,86,269,60,Sold,,,http://www.redfin.com/WA/Bothell/23528-26th-Ave-SE-98021/home/113972498,NWMLS,1126614,N,Y,47.7789517,-122.1975563
PAST SALE,November-30-2017,Single Family Residential,29 175th Place SE,Bothell,WA,98012,675950,5,2.75,Bothell,2587,4438,2017,55,261,81,Sold,,,http://www.redfin.com/WA/Bothell/29-175th-Pl-SE-98012/home/143193607,NWMLS,1157176,N,Y,47.839518,-122.234141
PAST SALE,October-26-2017,Single Family Residential,19218 91st Ave NE,Bothell,WA,98011,833000,6,3.25,West Hill,3840,8253,1973,90,217,,Sold,,,http://www.redfin.com/WA/Bothell/19218-91st-Ave-NE-98011/home/285636,NWMLS,1176078,N,Y,47.7686164,-122.218515
PAST SALE,November-15-2017,Single Family Residential,18326 3rd Dr SE Unit NC 18,Bothell,WA,98012,605794,3,2.5,North Creek,2632,5771,2017,70,230,20,Sold,,,http://www.redfin.com/WA/Bothell/18326-3rd-Dr-SE-98012/unit-NC-18/home/144227691,NWMLS,1213630,N,Y,47.8332416,-122.2270735
PAST SALE,November-13-2017,Townhouse,24037 40th Lane SE,Bothell,WA,98021,437000,3,2.25,Bothell,1449,1346,2006,72,302,50,Sold,,,http://www.redfin.com/WA/Bothell/24037-40th-Ln-SE-98021/home/28642027,NWMLS,1188672,N,Y,47.779656,-122.178339
PAST SALE,October-27-2017,Condo/Co-op,20320 Bothell Everett Hwy Unit D202,Bothell,WA,98012,236200,2,1,Bothell,860,301186,1986,89,275,347,Sold,,,http://www.redfin.com/WA/Bothell/20320-Bothell-Everett-Hwy-98012/unit-D202/home/144390902,NWMLS,1194811,N,Y,47.813465,-122.210683
PAST SALE,January-16-2018,Single Family Residential,24019 22nd Ave W,Bothell,WA,98021,683000,4,2.5,Bothell,2355,5227,2006,8,290,41,Sold,,,http://www.redfin.com/WA/Bothell/24019-22nd-Ave-W-98021/home/11880419,NWMLS,1222729,N,Y,47.7802301,-122.2624648
PAST SALE,,Multi-Family (2-4 Unit),18115 97th Ave NE,Bothell,WA,98011,825000,,,,2970,9470,1963,,278,,,,,http://www.redfin.com/WA/Bothell/18115-97th-Ave-NE-98011/home/2060621,,,N,Y,47.7596415,-122.2117153
PAST SALE,,Mobile/Manufactured Home,17037 Woodcrest Dr NE,Bothell,WA,98011,250000,,,,,5024,,,,,,,,http://www.redfin.com/WA/Bothell/17037-Woodcrest-Dr-NE-98011/home/40324906,,,N,Y,47.7514573,-122.1815623
PAST SALE,December-19-2017,Single Family Residential,19051 84th (Lot #8) Place NE,Bothell,WA,98011,999405,6,3.25,Bothell,3436,5537,2017,36,291,84,Sold,,,http://www.redfin.com/WA/Bothell/19051-84th-Pl-NE-98011/home/113178465,NWMLS,1215938,N,Y,47.766752,-122.227402
PAST SALE,,Single Family Residential,19039 84th Pl NE,Bothell,WA,98011,954076,4,2.5,,3370,4730,2017,,283,,,,,http://www.redfin.com/WA/Bothell/19039-84th-Pl-NE-98011/home/113178420,,,N,Y,47.76673,-122.227772
PAST SALE,January-5-2018,Townhouse,22715 4th Ave W,Bothell,WA,98021,324950,2,1.75,Canyon Park,906,,1993,19,359,327,Sold,,,http://www.redfin.com/WA/Bothell/22715-4th-Ave-W-98021/unit-106/home/2838794,NWMLS,1222680,N,Y,47.7923219,-122.2372629
PAST SALE,January-3-2018,Single Family Residential,2606 186th Place SE,Bothell,WA,98012,650000,4,2.75,Bothell,2624,16553,1980,21,248,,Sold,,,http://www.redfin.com/WA/Bothell/2606-186th-Pl-SE-98012/home/2780743,NWMLS,1216852,N,Y,47.8289763,-122.1974747
PAST SALE,January-5-2018,Condo/Co-op,2201 192nd St SE Unit R-201,Bothell,WA,98012,315000,3,2,North Bothell,1300,,2000,19,242,367,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-R201/home/2884037,NWMLS,1200971,N,Y,47.8263546,-122.2034132
PAST SALE,December-28-2017,Single Family Residential,21304 37th Ave SE,Bothell,WA,98021,829000,5,2.75,Canyon Park,3099,4356,2006,27,268,21,Sold,,,http://www.redfin.com/WA/Bothell/21304-37th-Ave-SE-98021/home/11881496,NWMLS,1219213,N,Y,47.8044483,-122.1836048
PAST SALE,December-29-2017,Single Family Residential,4207 223rd Place SE,Bothell,WA,98021,749000,5,2.75,Canyon Park,3150,4792,2008,26,238,25,Sold,,,http://www.redfin.com/WA/Bothell/4207-223rd-Pl-SE-98021/home/21500809,NWMLS,1212633,N,Y,47.7951986,-122.1766194
PAST SALE,January-5-2018,Single Family Residential,3610 223rd Place SE,Bothell,WA,98021,713000,4,3,Canyon Park,2046,4050,2010,19,348,45,Sold,,,http://www.redfin.com/WA/Bothell/3610-223rd-Pl-SE-98021/home/39914360,NWMLS,1219890,N,Y,47.7949996,-122.1845923
PAST SALE,December-29-2017,Single Family Residential,18507 26th Ave SE,Bothell,WA,98012,677000,4,2.5,Bothell,2172,6970,2012,26,312,,Sold,,,http://www.redfin.com/WA/Bothell/18507-26th-Ave-SE-98012/home/40042393,NWMLS,1220934,N,Y,47.8298641,-122.1988009
PAST SALE,December-28-2017,Single Family Residential,21 242nd (#17) St SE,Bothell,WA,98021,1389001,5,4,Canyon Park,4358,9600,2017,27,319,92,Sold,,,http://www.redfin.com/WA/Bothell/21-242nd-St-SE-98021/home/144350284,NWMLS,1220515,N,Y,47.77908,-122.231644
PAST SALE,December-28-2017,Single Family Residential,4018 223rd (CP Lot 14) Place SE,Bothell,WA,98021,763970,4,2.5,Bothell,2632,3574,2017,27,290,55,Sold,,,http://www.redfin.com/WA/Bothell/4018-223rd-Pl-SE-98021/home/143219030,NWMLS,1177368,N,Y,47.7950392,-122.1792767
PAST SALE,December-28-2017,Single Family Residential,22421 lot 51 43rd DR SE,Bothell,WA,98021,802390,4,3.5,Canyon Park,2819,4417,2017,27,285,102,Sold,,,http://www.redfin.com/WA/Bothell/22421-43rd-Dr-SE-98021/home/113983429,NWMLS,1129216,N,Y,47.793481,-122.1751093
PAST SALE,December-26-2017,Single Family Residential,13 174th Place SW,Bothell,WA,98012,759990,5,3,Bothell,3167,5390,2017,29,240,,Sold,,,http://www.redfin.com/WA/Bothell/13-174th-St-SW-98012/home/113977499,NWMLS,1126696,N,Y,47.8405128,-122.2337058
PAST SALE,December-28-2017,Single Family Residential,22215 lot#34 44TH DR SE,Bothell,WA,98021,695250,3,2.5,Canyon Park,2256,5135,2017,27,308,102,Sold,,,http://www.redfin.com/WA/Bothell/22215-44th-Dr-SE-98021/home/113386056,NWMLS,1088479,N,Y,47.7993044,-122.1737227
PAST SALE,,Single Family Residential,4121 228th St SE,Bothell,WA,98021,853996,4,2,,1465,46609,1966,,583,,,,,http://www.redfin.com/WA/Bothell/4121-228th-St-SE-98021/home/2600708,,,N,Y,47.7923063,-122.1774516
PAST SALE,January-4-2018,Single Family Residential,23122 20th Ave SE,Bothell,WA,98021,585000,3,2.5,Canyon Park,2018,9148,1986,20,290,,Sold,,,http://www.redfin.com/WA/Bothell/23122-20th-Ave-SE-98021/home/2809310,NWMLS,1206153,N,Y,47.7883021,-122.2063031
PAST SALE,January-4-2018,Single Family Residential,3921 208th Place SE,Bothell,WA,98021,840000,4,2.5,Bothell,3439,7405,1999,20,244,29,Sold,,,http://www.redfin.com/WA/Bothell/3921-208th-Pl-SE-98021/home/2885594,NWMLS,1222364,N,Y,47.8090686,-122.1798041
PAST SALE,January-5-2018,Single Family Residential,2204 242nd St SE,Bothell,WA,98021,1075000,4,3.5,Bothell,3772,11326,2003,19,285,50,Sold,,,http://www.redfin.com/WA/Bothell/2204-242nd-St-SE-98021/home/2890884,NWMLS,1218572,N,Y,47.7774617,-122.2033807
PAST SALE,,Condo/Co-op,18930 Bothell Everett Hwy Unit H30,Bothell,WA,98012,175000,1,1,,488,,1998,,359,,,,,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-H30/home/12176182,,,N,Y,47.8248136,-122.2090604
PAST SALE,December-28-2017,Single Family Residential,202 196th Place SW,Bothell,WA,98012,530000,4,2.5,Bothell,1726,3674,2008,27,307,30,Sold,,,http://www.redfin.com/WA/Bothell/202-196th-Pl-SW-98012/unit-24/home/12334418,NWMLS,1219417,N,Y,47.8203279,-122.2359964
PAST SALE,January-5-2018,Single Family Residential,24208 Meridian Ave S,Bothell,WA,98021,539000,3,1.75,Bothell,1743,14375,1997,19,309,,Sold,,,http://www.redfin.com/WA/Bothell/24208-Meridian-Ave-S-98021/home/12333842,NWMLS,1218969,N,Y,47.778528,-122.2333568
